,OrganizationIdentifier,ActivityMediaSubdivisionName,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityConductingOrganizationText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName
16655,SSCW,,2019-07-22,,,,,42.50608,-70.8728,Enterococcus
16656,MNPCA,Surface Water,2019-03-14,,,,,44.978056,-93.239444,"Carbonaceous biochemical oxygen demand, standard conditions"
16657,MNPCA,Surface Water,2019-05-21,,,,,45.050084,-93.273847,"Alkalinity, total"
16658,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-07-17,,,,,39.812772,-104.95444,Calcium
16659,MNPCA,Surface Water,2019-07-24,,,,,44.86311,-93.00493,Total volatile solids
16660,MNPCA,Surface Water,2019-03-08,,,,,44.957167,-93.081783,pH
16661,KINGCOUNTY,,2019-04-30,,,,,47.386897,-122.474449,Fecal Coliform
16662,UTAHDWQ_WQX,,2019-02-14,,Division of Water Quality,,,39.5333,-110.71293,"Temperature, water"
16663,SAMISHINDIAN_WQX,,2019-01-16,,,,,48.48,-122.59,"Temperature, water"
16664,MNPCA,Surface Water,2019-10-05,,,,,44.97736,-93.090457,Total volatile solids
16665,MNPCA,Surface Water,2019-06-30,,,,,44.932031,-93.144877,Total suspended solids
16666,UTAHDWQ_WQX,,2019-02-12,,Division of Water Quality,,,39.32302,-111.11461,Specific conductance
16667,MNPCA,Surface Water,2019-02-27,,,,,44.932031,-93.144877,"Carbonaceous biochemical oxygen demand, standard conditions"
16668,SAMISHINDIAN_WQX,,2019-06-17,,,,,48.49,-122.61,Salinity
16669,UTAHDWQ_WQX,,2019-01-15,,Division of Water Quality,,,38.87497,-111.28156,Dissolved oxygen (DO)
16670,MNPCA,Surface Water,2019-06-04,,,,,45.050084,-93.273847,"Biochemical oxygen demand, standard conditions"
16671,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-22,,,,,41.6731,-84.5371,"Carbonaceous biochemical oxygen demand, standard conditions"
16672,MNPCA,Surface Water,2019-09-25,,,,,44.809706,-92.930417,Stream stage
16673,MNPCA,Surface Water,2019-05-22,,,,,45.050084,-93.273847,"Alkalinity, total"
16674,MNPCA,Surface Water,2019-05-06,,,,,44.957167,-93.081783,Total suspended solids
16675,INSTOR_WQX,,2019-12-05,,,,,41.6183461878,-87.1990612156,pH
16676,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-15,,,,,41.1742,-83.4272,Total dissolved solids
16677,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-03,,,,,39.812772,-104.95444,Magnesium
16678,SANDIAWQ_WQX,Surface Water,2019-08-20,,,,,35.25974,-106.59623,"Temperature, water"
16679,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-07-03,,,,,39.812806,-104.954333,Chloride
16680,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-01-02,,,,,39.812772,-104.95444,Total suspended solids
16681,21VASWCB,,2019-10-31,0.3,DEQ,,,37.9794,-75.5487,Weather comments (text)
16682,INSTOR_WQX,,2019-06-04,,,,,41.6183461878,-87.1990612156,Sulfate
16683,MNPCA,Surface Water,2019-08-18,,,,,44.910663,-93.192374,Chloride
16684,MNPCA,Surface Water,2019-05-21,,,,,45.012778,-93.220278,Total volatile solids
16685,MNPCA,Surface Water,2019-08-03,,,,,45.023889,-93.277222,Sulfate
16686,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-04,,,,,39.812806,-104.954333,"Temperature, water"
16687,MNPCA,Surface Water,2019-09-02,,,,,44.932031,-93.144877,Calcium
16688,WIDNR_WQX,,2019-05-29,,WIDNR_WQX,,,45.383327,-92.65001,Total suspended solids
16689,UTAHDWQ_WQX,,2019-07-16,,Division of Water Quality,,,37.03965,-113.63329,Dissolved oxygen (DO)
16690,INSTOR_WQX,,2019-11-21,,,,,41.69232048,-87.5054023621,"Temperature, water"
16691,BPMWQX,Surface Water,2019-12-06,,,,,37.87673048,-107.6443288,Magnesium
16692,MNPCA,Surface Water,2019-06-23,,,,,44.957167,-93.081783,Calcium
16693,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-11-06,,,,,40.00148,-104.825378,Magnesium
16694,OREGONDEQ,Wastewater Treatment Plant Effluent,2019-03-21,,,,,46.174,-123.9193,Total suspended solids
16695,SANDIAWQ_WQX,Deionized Water,2019-09-11,,,,,1.0,-1.0,pH
16696,UTAHDWQ_WQX,,2019-05-20,,Division of Water Quality,,,37.0386,-113.62998,Total suspended solids
16697,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-03,,,,,39.812806,-104.954333,"Hardness, carbonate"
16698,MNPCA,Surface Water,2019-07-01,,,,,44.97736,-93.090457,Chloride
16699,MNPCA,Surface Water,2019-09-11,,,,,44.97736,-93.090457,pH
16700,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-18,,,,,39.812772,-104.95444,Conductivity
16701,MNPCA,Surface Water,2019-06-14,,,,,45.012778,-93.220278,"Biochemical oxygen demand, standard conditions"
16702,MNPCA,Surface Water,2019-06-30,,,,,45.023889,-93.277222,"Carbonaceous biochemical oxygen demand, standard conditions"
16703,INSTOR_WQX,,2019-11-13,,,,,41.7250767749,-86.9016515024,Total solids
16704,BPMWQX,Surface Water,2019-12-06,,,,,37.89098119,-107.6484397,"Alkalinity, total"
16705,WIDNR_WQX,,2019-08-27,,WIDNR_WQX,,,45.884422,-89.65167,"Temperature, water"
16706,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,,,,39.812772,-104.95444,Calcium
16707,MNPCA,Surface Water,2019-08-17,,,,,44.925096,-92.91244,Total suspended solids
16708,SAMISHINDIAN_WQX,,2019-03-21,,,,,48.47,-122.59,Specific conductance
16709,SAMISHINDIAN_WQX,,2019-11-12,,,,,48.48,-122.59,Specific conductance
16710,UTAHDWQ_WQX,,2019-04-11,,Division of Water Quality,,,37.03965,-113.63329,Specific conductance
16711,MNPCA,Surface Water,2019-07-28,,,,,44.932031,-93.144877,Chloride
16712,SAMISHINDIAN_WQX,,2019-12-11,,,,,48.47,-122.59,"Temperature, water"
16713,INSTOR_WQX,,2019-07-11,,,,,41.69232048,-87.5054023621,Calcium carbonate
16714,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-30,,,,,39.2506,-84.2894,Chemical oxygen demand
16715,UTAHDWQ_WQX,,2019-03-05,,Division of Water Quality,,,37.03965,-113.63329,"Temperature, water"
16716,MNPCA,Surface Water,2019-09-23,,,,,44.94981,-92.92872,pH
16717,SAMISHINDIAN_WQX,,2019-06-17,,,,,48.47,-122.59,Specific conductance
16718,UTAHDWQ_WQX,,2019-01-15,0.4286553,Division of Water Quality,,,40.14387,-111.74946,"Temperature, water"
16719,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-02-20,,,,,39.812772,-104.95444,Sodium
16720,SNOQUALM_WQX,,2019-10-16,,,,,47.5215,-121.843,Chloride
16721,MNPCA,Surface Water,2019-08-21,0.305,,,,45.077186,-93.025498,Total suspended solids
16722,MNPCA,Surface Water,2019-04-23,,,,,45.012778,-93.220278,"Temperature, water"
16723,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,,,,39.812772,-104.95444,Sulfate
16724,UTAHDWQ_WQX,,2019-04-17,,Division of Water Quality,,,38.57944,-109.57183,Potassium
16725,SAMISHINDIAN_WQX,,2019-02-28,,,,,48.48,-122.59,Salinity
16726,INSTOR_WQX,,2019-02-05,,,,,41.65241767,-87.4381260151,Sulfate
16727,SSCW,,2019-08-19,,,,,42.53021,-70.88631,Enterococcus
16728,BPMWQX,Surface Water,2019-12-09,,,,,37.8945649,-107.6383438,Hardness
16729,MNPCA,Surface Water,2019-05-31,,,,,45.012778,-93.220278,Sulfate
16730,MNPCA,Surface Water,2019-02-27,,,,,44.978056,-93.239444,Dissolved oxygen (DO)
16731,MNPCA,Surface Water,2019-08-07,,,,,44.978056,-93.239444,Chemical oxygen demand
16732,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-11-26,,,,,39.8375,-84.0576,Chemical oxygen demand
16733,UTAHDWQ_WQX,,2019-09-24,,Division of Water Quality,,,40.14387,-111.74946,"Temperature, water"
16734,INSTOR_WQX,,2019-01-23,,,,,41.5997954912,-87.3429555221,"Temperature, water"
16735,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-05-06,,,,,41.2869,-84.7599,Calcium
16736,INSTOR_WQX,,2019-12-05,,,,,41.6183461878,-87.1990612156,"Temperature, water"
16737,SAMISHINDIAN_WQX,,2019-01-16,,,,,48.48,-122.59,Salinity
16738,UTAHDWQ_WQX,,2019-09-16,,Division of Water Quality,,,37.03965,-113.63329,Magnesium
16739,BPMWQX,Surface Water,2019-12-09,,,,,37.8892720817,-107.6546164882,Potassium
16740,MNPCA,Surface Water,2019-09-06,,,,,44.978056,-93.245,"Alkalinity, total"
16741,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-10-02,,,,,39.812772,-104.95444,Calcium
16742,UTAHDWQ_WQX,,2019-01-16,,Division of Water Quality,,,39.5333,-110.71293,Calcium
16743,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-10-16,,,,,39.812772,-104.95444,"Temperature, water"
16744,MNPCA,Surface Water,2019-07-23,,,,,44.932031,-93.144877,Total suspended solids
16745,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-19,,,,,39.812806,-104.954333,Conductivity
16746,MNPCA,Surface Water,2019-01-23,,,,,44.978056,-93.245,"Hardness, carbonate"
16747,INSTOR_WQX,,2019-12-10,,,,,41.69232048,-87.5054023621,Total dissolved solids
16748,MNPCA,Surface Water,2019-08-20,,,,,44.97736,-93.090457,Magnesium
16749,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-07-03,,,,,40.00148,-104.825378,Magnesium
16750,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-02-06,,,,,39.812772,-104.95444,Dissolved oxygen (DO)
16751,INSTOR_WQX,,2019-01-23,,,,,41.69232048,-87.5054023621,Sodium
16752,MNPCA,Surface Water,2019-08-18,,,,,44.953353,-93.205417,Calcium
16753,MNPCA,Surface Water,2019-08-07,,,,,44.978056,-93.239444,Total suspended solids
16754,UTAHDWQ_WQX,,2019-01-10,,Division of Water Quality,,,38.57944,-109.57183,Specific conductance
16755,SAMISHINDIAN_WQX,,2019-06-17,,,,,48.47,-122.59,Salinity
16756,INSTOR_WQX,,2019-07-09,,,,,41.6183461878,-87.1990612156,Sulfate
16757,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-05-15,,,,,39.812772,-104.95444,Conductivity
16758,UTAHDWQ_WQX,,2019-07-15,,Division of Water Quality,,,39.46025,-111.16661,Total dissolved solids
16759,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-11-20,,,,,39.812772,-104.95444,"Temperature, water"
16760,INSTOR_WQX,,2019-06-04,,,,,41.6183461878,-87.1990612156,Specific conductance
16761,MNPCA,Surface Water,2019-01-23,,,,,44.910663,-93.192374,Total volatile solids
16762,MNPCA,Surface Water,2019-08-10,,,,,44.932031,-93.144877,Calcium
16763,INSTOR_WQX,,2019-04-09,,,,,41.5997954912,-87.3429555221,Escherichia coli
16764,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-02-20,,,,,39.812806,-104.954333,Conductivity
16765,UTAHDWQ_WQX,,2019-07-09,,Division of Water Quality,,,40.14387,-111.74946,Sulfate
16766,KINGCOUNTY,,2019-09-16,,,,,47.353155,-122.449515,Fecal Coliform
16767,MNPCA,Surface Water,2019-09-06,,,,,45.023889,-93.277222,"Hardness, carbonate"
16768,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-07-03,,,,,39.812772,-104.95444,Total dissolved solids
16769,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-11-20,,,,,39.812772,-104.95444,Conductivity
16770,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-10-02,,,,,39.812772,-104.95444,"Hardness, carbonate"
16771,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-19,,,,,40.00148,-104.825378,Bromide
16772,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-08,,,,,39.7303,-84.6353,"Alkalinity, total"
16773,MNPCA,Surface Water,2019-09-12,,,,,44.932031,-93.144877,Total volatile solids
16774,SAMISHINDIAN_WQX,,2019-03-21,,,,,48.49,-122.61,Fecal Coliform
16775,MNPCA,Surface Water,2019-10-02,,,,,44.957167,-93.081783,Chloride
16776,INSTOR_WQX,,2019-01-23,,,,,41.65241767,-87.4381260151,Dissolved oxygen saturation
16777,MNPCA,Surface Water,2019-05-18,,,,,44.932031,-93.144877,Total suspended solids
16778,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,,,,39.812772,-104.95444,Total dissolved solids
16779,WIDNR_WQX,,2019-06-03,1.0,WIDNR_WQX,,,46.535004,-91.58253,"Temperature, water"
16780,MNPCA,Surface Water,2019-03-14,,,,,44.97776,-93.090727,Sulfate
16781,MNPCA,Surface Water,2019-08-20,,,,,44.9971,-93.47175,Total suspended solids
16782,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-10-22,,,,,40.35316,-83.7773,Total suspended solids
16783,MNPCA,Surface Water,2019-06-14,,,,,45.050084,-93.273847,Chemical oxygen demand
16784,INSTOR_WQX,,2019-05-14,,,,,41.5997954912,-87.3429555221,Dissolved oxygen saturation
16785,BPMWQX,Surface Water,2019-01-09,,,,,37.889925,-107.650156,Sodium
16786,UTAHDWQ_WQX,,2019-07-16,,Division of Water Quality,,,39.20217,-110.99596,Dissolved oxygen (DO)
16787,21VASWCB,,2019-02-13,0.3,DEQ,,,37.9629,-75.594,Weather comments (text)
16788,MNPCA,Surface Water,2019-08-16,,,,,44.84048,-93.00483,"Hardness, carbonate"
16789,UTAHDWQ_WQX,,2019-08-13,,Division of Water Quality,,,40.14387,-111.74946,Total dissolved solids
16790,21VASWCB,Surface Water,2019-01-23,0.3,DEQ,,,37.9017,-75.5115,Escherichia coli
16791,21VASWCB,,2019-10-21,0.3,DEQ,,,37.9663,-75.5931,Weather comments (text)
16792,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-05-15,,,,,39.812772,-104.95444,Turbidity
16793,MNPCA,Surface Water,2019-09-02,,,,,44.957167,-93.081783,Magnesium
16794,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-20,,,,,39.812772,-104.95444,Calcium
16795,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-05,,,,,40.00148,-104.825378,Calcium
16796,WIDNR_WQX,,2019-02-19,,WIDNR_WQX,,,45.383327,-92.65001,Chloride
16797,21VASWCB,Surface Water,2019-02-13,0.3,DEQ,,,37.9778,-75.5476,Total volatile solids
16798,MNPCA,Surface Water,2019-07-15,,,,,44.97776,-93.090727,Calcium
16799,MNPCA,Surface Water,2019-02-14,,,,,45.050084,-93.273847,Total volatile solids
16800,SNOQUALM_WQX,,2019-04-05,,,,,47.5215,-121.843,Total suspended solids
16801,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-05-01,,,,,39.812806,-104.954333,Turbidity
16802,INSTOR_WQX,,2019-08-05,,,,,41.7250767749,-86.9016515024,Calcium carbonate
16803,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-11-26,,,,,39.8375,-84.0576,Chloride
16804,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-03,,,,,40.00148,-104.825378,Total dissolved solids
16805,MNPCA,Surface Water,2019-04-29,,,,,44.925096,-92.91244,Chloride
16806,SAMISHINDIAN_WQX,,2019-04-17,,,,,48.48,-122.57,pH
16807,SAMISHINDIAN_WQX,,2019-05-08,,,,,48.48,-122.59,Specific conductance
16808,INSTOR_WQX,,2019-06-11,,,,,41.5997954912,-87.3429555221,Sulfate
16809,MNPCA,Surface Water,2019-07-16,,,,,44.9971,-93.47175,Total suspended solids
16810,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-19,,,,,40.00148,-104.825378,Conductivity
16811,MNPCA,Surface Water,2019-01-23,,,,,45.023889,-93.277222,pH
16812,MNPCA,Surface Water,2019-08-19,,,,,44.978056,-93.239444,Escherichia coli
16813,WFWQC_UT,,2019-03-19,,,,,40.144972,-111.650333,Total dissolved solids
16814,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-01-16,,,,,40.00148,-104.825378,Magnesium
16815,SAMISHINDIAN_WQX,,2019-04-17,,,,,48.47,-122.57,"Temperature, water"
16816,MNPCA,Surface Water,2019-01-23,,,,,45.012778,-93.220278,Escherichia coli
16817,INSTOR_WQX,,2019-05-14,,,,,41.5997954912,-87.3429555221,pH
16818,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-15,,,,,41.1742,-83.4272,"Alkalinity, total"
16819,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-22,,,,,41.6872,-83.4797,Sodium
16820,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-07-03,,,,,39.812772,-104.95444,"Hardness, carbonate"
16821,MNPCA,Surface Water,2019-05-18,,,,,44.97736,-93.090457,Calcium
16822,UTAHDWQ_WQX,,2019-07-16,,Division of Water Quality,,,37.03965,-113.63329,Total dissolved solids
16823,INSTOR_WQX,,2019-11-14,,,,,41.6183461878,-87.1990612156,Specific conductance
16824,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-05-15,,,,,39.812772,-104.95444,Bromide
16825,MNPCA,Surface Water,2019-04-09,,,,,45.012778,-93.220278,Total suspended solids
16826,MNPCA,Surface Water,2019-10-08,,,,,44.97776,-93.090727,Magnesium
16827,MNPCA,Surface Water,2019-06-30,,,,,44.910663,-93.192374,Chloride
16828,UTAHDWQ_WQX,,2019-07-17,,Division of Water Quality,,,38.57944,-109.57183,Specific conductance
16829,INSTOR_WQX,,2019-11-21,,,,,41.69232048,-87.5054023621,Escherichia coli
16830,INSTOR_WQX,,2019-09-19,,,,,41.65241767,-87.4381260151,Dissolved oxygen saturation
16831,MNPCA,Surface Water,2019-03-18,,,,,44.978056,-93.245,"Alkalinity, total"
16832,SAMISHINDIAN_WQX,,2019-09-25,,,,,48.49,-122.61,"Temperature, water"
16833,SAMISHINDIAN_WQX,,2019-01-16,,,,,48.48,-122.57,Turbidity
16834,MNPCA,Surface Water,2019-02-13,,,,,45.012778,-93.220278,Total suspended solids
16835,MNPCA,Surface Water,2019-02-27,,,,,45.050084,-93.273847,Salinity
16836,UTAHDWQ_WQX,,2019-06-19,,Division of Water Quality,,,38.57944,-109.57183,Dissolved oxygen saturation
16837,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-07,,,,,39.812806,-104.954333,Sodium
16838,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-07-17,,,,,39.812772,-104.95444,Fluoride
16839,UTAHDWQ_WQX,,2019-08-15,0.84,Division of Water Quality,,,39.5333,-110.71293,"Temperature, water"
16840,SANDIAWQ_WQX,Surface Water,2019-08-20,,,,,35.25974,-106.59623,Dissolved oxygen (DO)
16841,MNPCA,Surface Water,2019-03-14,,,,,44.978056,-93.239444,Sulfate
16842,MNPCA,Surface Water,2019-06-23,,,,,45.012778,-93.220278,Chemical oxygen demand
16843,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-06-05,,,,,40.00148,-104.825378,Chloride
16844,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-03,,,,,40.00148,-104.825378,"Temperature, water"
16845,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-03-06,,,,,39.812772,-104.95444,"Hardness, carbonate"
16846,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-04,,,,,39.812806,-104.954333,Total suspended solids
16847,MNPCA,Surface Water,2019-01-23,,,,,44.910663,-93.192374,"Hardness, carbonate"
16848,UTAHDWQ_WQX,,2019-11-26,,Division of Water Quality,,,39.51447,-111.58635,pH
16849,MNPCA,Surface Water,2019-02-27,,,,,44.978056,-93.239444,Sulfate
16850,UTAHDWQ_WQX,,2019-02-13,,Division of Water Quality,,,38.87497,-111.28156,Specific conductance
16851,MNPCA,Surface Water,2019-10-21,,,,,44.910663,-93.192374,Chloride
16852,CSKTRIBE,,2019-07-10,,,,,47.1909,-114.0671,"Temperature, air"
16853,MNPCA,Surface Water,2019-06-04,,,,,45.012778,-93.220278,"Alkalinity, total"
16854,MNPCA,Surface Water,2019-03-08,,,,,44.957167,-93.081783,Calcium
16855,SSCW,,2019-06-18,,,,,42.55099,-70.85028,Enterococcus
16856,INSTOR_WQX,,2019-08-13,,,,,41.5997954912,-87.3429555221,Dissolved oxygen (DO)
16857,SAMISHINDIAN_WQX,,2019-08-15,,,,,48.48,-122.59,Fecal Coliform
16858,MNPCA,Surface Water,2019-04-23,,,,,44.932031,-93.144877,"Carbonaceous biochemical oxygen demand, standard conditions"
16859,21OHIO_WQX,Wastewater Treatment Plant Effluent,2019-04-08,,,,,40.7206,-84.3453,Total suspended solids
16860,MNPCA,Surface Water,2019-03-14,,,,,44.978056,-93.239444,"Alkalinity, total"
16861,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-18,,,,,39.812806,-104.954333,Magnesium
16862,WIDNR_WQX,,2019-11-20,,WIDNR_WQX,,,45.383327,-92.65001,Calcium carbonate
16863,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-04-03,,,,,39.812772,-104.95444,Sodium
16864,MNPCA,Surface Water,2019-06-24,,,,,44.925096,-92.91244,Total suspended solids
16865,MNPCA,Surface Water,2019-06-30,,,,,44.932031,-93.144877,Sulfate
16866,MNPCA,Surface Water,2019-06-26,,,,,44.978056,-93.245,Chemical oxygen demand
16867,WIDNR_WQX,,2019-09-23,1.0,WIDNR_WQX,,,46.535004,-91.58253,pH
16868,SAMISHINDIAN_WQX,,2019-10-23,,,,,48.47,-122.57,"Temperature, water"
16869,INSTOR_WQX,,2019-02-14,,,,,41.6183461878,-87.1990612156,Chloride
16870,21COL001_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,CDPHE-WQCD,,,40.1726,-105.9157,pH
16871,KINGCOUNTY,,2019-03-11,,,,,47.370516,-122.454075,Fecal Coliform
16872,MNPCA,Surface Water,2019-10-01,,,,,44.932031,-93.144877,Total suspended solids
16873,UTAHDWQ_WQX,,2019-03-06,,Division of Water Quality,,,38.57944,-109.57183,Total suspended solids
16874,BPMWQX,Surface Water,2019-12-09,,,,,37.8892720817,-107.6546164882,Chloride
16875,INSTOR_WQX,,2019-05-14,,,,,41.65241767,-87.4381260151,Sodium
16876,MNPCA,Surface Water,2019-08-10,,,,,45.023889,-93.277222,Chemical oxygen demand
16877,MNPCA,Surface Water,2019-11-14,,,,,44.957167,-93.081783,pH
16878,MNPCA,Surface Water,2019-05-06,,,,,44.957167,-93.081783,Chloride
16879,MNPCA,Surface Water,2019-08-18,,,,,45.03739,-92.8425,Chloride
16880,MNPCA,Surface Water,2019-07-28,,,,,44.989918,-93.470273,Chloride
16881,MNPCA,Surface Water,2019-07-20,,,,,44.97776,-93.090727,Chloride
16882,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-05-15,,,,,39.812806,-104.954333,Total dissolved solids
16883,INSTOR_WQX,,2019-07-11,,,,,41.65241767,-87.4381260151,Turbidity
16884,WFWQC_UT,,2019-05-15,,,,,40.144972,-111.650333,Total dissolved solids
16885,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-21,,,,,40.00148,-104.825378,"Biochemical oxygen demand, standard conditions"
16886,INSTOR_WQX,,2019-02-13,,,,,41.7250767749,-86.9016515024,Chloride
16887,INSTOR_WQX,,2019-08-13,,,,,41.5997954912,-87.3429555221,Specific conductance
16888,MNPCA,Surface Water,2019-02-14,,,,,45.050084,-93.273847,Total suspended solids
16889,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-04,,,,,40.00148,-104.825378,Fluoride
