,OrganizationIdentifier,ActivityMediaSubdivisionName,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityConductingOrganizationText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName
54,USGS-WI,Surface Water,2019-07-06,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Chloride
55,USGS-WI,Surface Water,2019-07-06,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
56,USGS-WI,Surface Water,2019-03-15,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
57,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
58,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
59,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
60,USGS-TX,Surface Water,2019-04-25,5.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,"Temperature, water"
61,USGS-TX,Surface Water,2019-04-25,5.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Barometric pressure
62,USGS-TX,Surface Water,2019-04-25,5.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Specific conductance
63,USGS-TX,Surface Water,2019-04-25,5.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,"Acidity, (H+)"
64,USGS-TX,Surface Water,2019-04-25,5.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Oxygen
65,USGS-TX,Surface Water,2019-04-25,5.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Oxygen
66,USGS-TX,Surface Water,2019-04-25,5.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,pH
67,USGS-WI,Surface Water,2019-03-12,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Chloride
68,USGS-WI,Surface Water,2019-03-12,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
69,USGS-IN,Surface Water,2019-04-27,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Chloride
70,USGS-IN,Surface Water,2019-04-27,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Suspended Sediment Concentration (SSC)
71,USGS-WI,Surface Water,2019-10-02,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
72,USGS-WI,Surface Water,2019-10-02,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
73,USGS-IN,Surface Water,2019-07-24,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Chloride
74,USGS-IN,Surface Water,2019-07-24,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Suspended Sediment Concentration (SSC)
75,USGS-WI,Surface Water,2019-03-15,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
76,USGS-WI,Surface Water,2019-03-15,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
77,USGS-WI,Surface Water,2019-09-12,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
78,USGS-MA,Surface Water,2019-08-07,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
79,USGS-MA,Surface Water,2019-08-07,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
80,USGS-MA,Surface Water,2019-08-07,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
81,USGS-WI,Surface Water,2019-04-19,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
82,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,"Temperature, water"
83,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,"Temperature, air, deg C"
84,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Barometric pressure
85,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Wind velocity
86,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,"Wind direction (direction from, expressed 0-360 deg)"
87,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,"Elevation, water surface, MSL"
88,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Specific conductance
89,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,"Acidity, (H+)"
90,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Oxygen
91,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Oxygen
92,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,pH
93,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Dreissena polymorpha
94,USGS-TX,Surface Water,2019-06-25,1.0,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Dreissena polymorpha
95,USGS-MA,Surface Water,2019-04-22,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
96,USGS-MA,Surface Water,2019-04-22,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
97,USGS-MA,Surface Water,2019-04-22,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
98,USGS-WI,Surface Water,2019-10-01,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
99,USGS-WI,Surface Water,2019-10-01,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
100,USGS-MA,Surface Water,2019-12-14,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
101,USGS-MA,Surface Water,2019-12-14,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
102,USGS-MA,Surface Water,2019-12-14,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
103,USGS-WI,Surface Water,2019-04-25,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
104,USGS-MA,Surface Water,2019-10-02,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
105,USGS-MA,Surface Water,2019-10-02,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
106,USGS-MA,Surface Water,2019-10-02,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
107,USGS-WI,Surface Water,2019-03-04,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
108,USGS-WI,Surface Water,2019-03-04,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
109,USGS-WI,Surface Water,2019-11-20,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
110,USGS-WI,Surface Water,2019-11-20,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
111,USGS-WI,Surface Water,2019-08-07,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Chloride
112,USGS-WI,Surface Water,2019-08-07,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
113,USGS-WI,Surface Water,2019-02-04,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
114,USGS-WI,Surface Water,2019-02-04,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
115,USGS-MA,Surface Water,2019-06-21,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
116,USGS-MA,Surface Water,2019-06-21,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
117,USGS-MA,Surface Water,2019-06-21,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
118,USGS-VA,Surface Water,2019-07-11,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
119,USGS-VA,Surface Water,2019-07-11,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
120,USGS-WI,Surface Water,2019-02-04,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
121,USGS-IN,Surface Water,2019-11-21,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,"Temperature, water"
122,USGS-IN,Surface Water,2019-11-21,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,"Height, gage"
123,USGS-IN,Surface Water,2019-11-21,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,"Acidity, (H+)"
124,USGS-IN,Surface Water,2019-11-21,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,pH
125,USGS-IN,Surface Water,2019-11-21,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Chloride
126,USGS-IN,Surface Water,2019-11-21,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,"Height, gage"
127,USGS-IN,Surface Water,2019-11-21,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Bromide
128,USGS-WI,Surface Water,2019-12-24,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
129,USGS-WI,Surface Water,2019-12-24,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
130,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
131,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
132,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
133,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating debris - severity (choice list)
134,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Turbidity severity (choice list)
135,USGS-WI,Surface Water,2019-04-12,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
136,USGS-WI,Surface Water,2019-04-12,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
137,USGS-VA,Surface Water,2019-09-06,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Rising stage,Storm,,,"Stream flow, instantaneous"
138,USGS-VA,Surface Water,2019-09-06,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Rising stage,Storm,,,"Height, gage"
139,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
140,USGS-VA,Surface Water,2019-09-06,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Rising stage,Storm,,,"Height, gage"
141,USGS-VA,Surface Water,2019-09-06,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Rising stage,Storm,,,"Stream flow, instantaneous"
142,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Temperature, water"
143,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
144,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Specific conductance
145,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Detergent, severity (choice list)"
146,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating Garbage Severity (choice List)
147,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Odor, atmospheric"
148,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Escherichia coli
149,USGS-CO,Surface Water,2019-12-10,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Total Coliform
150,USGS-WI,Surface Water,2019-10-23,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
151,USGS-WI,Surface Water,2019-10-23,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
152,USGS-WI,Surface Water,2019-06-24,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
153,USGS-WI,Surface Water,2019-06-24,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
154,USGS-NY,Surface Water,2019-02-03,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Chloride
155,USGS-NY,Surface Water,2019-02-03,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Suspended Sediment Concentration (SSC)
156,USGS-WI,Surface Water,2019-10-11,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Chloride
157,USGS-WI,Surface Water,2019-10-11,,University of Wisconsin Extension,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
158,USGS-WI,Surface Water,2019-09-11,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
159,USGS-WI,Surface Water,2019-09-11,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
160,USGS-MA,Surface Water,2019-11-24,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
161,USGS-MA,Surface Water,2019-11-24,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
162,USGS-VA,Surface Water,2019-10-16,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
163,USGS-VA,Surface Water,2019-10-16,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
164,USGS-VA,Surface Water,2019-10-16,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
165,USGS-VA,Surface Water,2019-10-16,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
166,USGS-NY,Surface Water,2019-04-19,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Chloride
167,USGS-NY,Surface Water,2019-04-19,,U.S. Geological Survey-Water Resources Discipline,Not applicable,Storm,,,Suspended Sediment Concentration (SSC)
168,USGS-WI,Surface Water,2019-10-26,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
169,USGS-WI,Surface Water,2019-10-26,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
170,USGS-WI,Surface Water,2019-02-20,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
171,USGS-WI,Surface Water,2019-02-20,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
172,USGS-WI,Surface Water,2019-02-20,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
173,USGS-MA,Surface Water,2019-12-30,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
174,USGS-MA,Surface Water,2019-12-30,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
175,USGS-MA,Surface Water,2019-12-30,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
176,USGS-WI,Surface Water,2019-05-08,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
177,USGS-WI,Surface Water,2019-05-08,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
178,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Stream width measure
179,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Temperature, water"
180,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
181,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Specific conductance
182,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Detergent, severity (choice list)"
183,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating Garbage Severity (choice List)
184,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Odor, atmospheric"
185,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating debris - severity (choice list)
186,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Turbidity severity (choice list)
187,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
188,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Escherichia coli
189,USGS-CO,Surface Water,2019-12-03,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Total Coliform
190,USGS-MA,Surface Water,2019-08-29,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
